"alpha"	"delta"	"mig"	"cost"	"mu"	"sigma"	"gen"	"popsize"	"nsampled"	"seed"	"generation"	"param"	"means"
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	75000	"slope"	-1.4448086
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	75000	"intercept"	1.55445155
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	80000	"slope"	-1.4557422
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	80000	"intercept"	1.5539519
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	85000	"slope"	-1.493345
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	85000	"intercept"	1.58299465
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	90000	"slope"	-1.49202115
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	90000	"intercept"	1.58469955
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	95000	"slope"	-1.51351785
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	95000	"intercept"	1.60389205
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	100000	"slope"	-1.5519113
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	100000	"intercept"	1.6291586
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	105000	"slope"	-1.53837515
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	105000	"intercept"	1.6194602
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	110000	"slope"	-1.5135523
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	110000	"intercept"	1.5946271
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	115000	"slope"	-1.4799476
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	115000	"intercept"	1.57887725
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	120000	"slope"	-1.49357245
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	120000	"intercept"	1.59521285
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	125000	"slope"	-1.5308139
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	125000	"intercept"	1.6109513
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	130000	"slope"	-1.5247533
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	130000	"intercept"	1.6035354
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	135000	"slope"	-1.54626585
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	135000	"intercept"	1.6269667
"0.85"	"0.8"	"0.35"	"0.01"	"0.005"	"0.01"	"300000"	"10000"	"200"	"4616735888990116435"	140000	"slope"	-1.54403505
