"selfingrate"	"delta"	"cost"	"mu"	"sigma"	"gen"	"popsize"	"nsampled"	"seed"	"generation"	"param"	"means"
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6180892646882747572"	85000	"intercept"	0.483472135
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6180892646882747572"	90000	"slope"	0.0206920783
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6180892646882747572"	90000	"intercept"	0.493899765
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6180892646882747572"	95000	"slope"	0.04253277775
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6180892646882747572"	95000	"intercept"	0.45875066
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6180892646882747572"	100000	"slope"	0.046503077624
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6180892646882747572"	100000	"intercept"	0.46000682
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	10	"slope"	1.25447500000001e-06
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	10	"intercept"	0.500246075
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	5000	"slope"	-0.001040578695
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	5000	"intercept"	0.505741165
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	10000	"slope"	-0.018116558275
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	10000	"intercept"	0.51419105
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	15000	"slope"	-0.019785699934
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	15000	"intercept"	0.513849865
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	20000	"slope"	0.00347246322
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	20000	"intercept"	0.503484015
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	25000	"slope"	0.03411413614
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	25000	"intercept"	0.479268025
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	30000	"slope"	-0.05348213528
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	30000	"intercept"	0.525818315
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	35000	"slope"	-0.008451920505
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	35000	"intercept"	0.510791595
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	40000	"slope"	0.0219109343
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	40000	"intercept"	0.491632975
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	45000	"slope"	0.015788314925
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"6480419643342956691"	45000	"intercept"	0.48339294
